model,split,min_rating,fit_seconds,hr@10,ndcg@10,hr@20,ndcg@20,hr@100,ndcg@100,mrr,sampled99_hr@10,sampled99_ndcg@10,n_eval_users,params
item_knn,valid,,,0.075,0.0361548909424472,0.1289735099337748,0.0496422643939626,0.3266556291390728,0.0854744602530328,0.0338771058787868,0.4253311258278145,0.291079044095696,6040,"{""alpha"": 0.5, ""shrink"": 0, ""top_k"": 5}"
item_knn,test,,,0.0721854304635761,0.0348580687877667,0.1165562913907284,0.045993099329836,0.3061258278145695,0.0801193282760415,0.0320519117378064,0.4039735099337748,0.2722110777829119,6040,"{""alpha"": 0.5, ""shrink"": 0, ""top_k"": 5}"
user_knn,valid,,,0.0847682119205298,0.041330309773352,0.1503311258278145,0.0578307472260386,0.3998344370860927,0.1027899250180645,0.0405927087188752,0.6662251655629139,0.404751479753085,6040,"{""alpha"": 0.25, ""shrink"": 100, ""top_k"": 20}"
user_knn,test,,,0.0789735099337748,0.0382166068190789,0.1341059602649006,0.0521233247754077,0.3695364238410596,0.0941976428859053,0.0370554737726306,0.6365894039735099,0.3828606077431176,6040,"{""alpha"": 0.25, ""shrink"": 100, ""top_k"": 20}"
item_knn,valid,3.0,,0.0705531632991056,0.0365032013786877,0.1156011924478304,0.0478051569041186,0.3287512421331566,0.0857105628689304,0.0354485747248628,0.5213646902947996,0.3195365019103848,6038,"{""alpha"": 0.25, ""shrink"": 100, ""top_k"": 10}"
item_knn,test,3.0,,0.062934746604836,0.030725292365591,0.1036767141437562,0.0409418333232606,0.3049022855250082,0.0766737735254238,0.0297406930630616,0.4971844981782047,0.2977423883994362,6038,"{""alpha"": 0.25, ""shrink"": 100, ""top_k"": 10}"
user_knn,valid,3.0,,0.0849619079165286,0.0417731040292848,0.1434249751573368,0.0564009055870028,0.4012918184829414,0.1024227070347881,0.0404862665628697,0.6676051672739317,0.4022297376913479,6038,"{""alpha"": 0.25, ""shrink"": 100, ""top_k"": 50}"
user_knn,test,3.0,,0.078668433256045,0.0387557240628825,0.1288506127856906,0.0514023327936773,0.3704869161974163,0.0944692246878496,0.0376006221271219,0.6382908247764161,0.3770932896383425,6038,"{""alpha"": 0.25, ""shrink"": 100, ""top_k"": 50}"
ease,valid,,,0.1023178807947019,0.0492044724418835,0.1710264900662251,0.0664857470382753,0.4600993377483444,0.1185466641185487,0.0464979152675626,0.6995033112582781,0.4410954491865385,6040,"{""regularization"": 250}"
ease,test,,,0.0991721854304635,0.0485255287165909,0.1660596026490066,0.0653102404495685,0.4332781456953642,0.1131005530142756,0.045811824735986,0.679635761589404,0.4278410872437456,6040,"{""regularization"": 250}"
