alpha,shrink,top_k,hr@10,ndcg@10,hr@20,ndcg@20,hr@100,ndcg@100,mrr,seconds
0.0,500,5,0.06840013249420338,0.027258918292894,0.12172904935409076,0.04059081747306092,0.34531301755548194,0.08047335545234821,0.025630492106852913,2.76
1.0,500,50,0.05481947664789665,0.026235267106606244,0.09274594236502152,0.03572816425491064,0.28221265319642264,0.06928334553391127,0.026420913616976058,2.95
1.0,0,50,0.0546538588936734,0.026233808235211948,0.09258032461079828,0.03573665360904578,0.2820470354421994,0.06930276446311096,0.026481399836055446,2.84
1.0,100,50,0.0546538588936734,0.026202595651782564,0.09274594236502152,0.03574418546000635,0.28221265319642264,0.06930162977695431,0.026442152986528532,3.0
1.0,10,50,0.0546538588936734,0.02619186590981703,0.09274594236502152,0.03573267740585408,0.2820470354421994,0.06926711645991211,0.026427564283815173,3.07
0.5,500,20,0.06392845313017556,0.026170305263770535,0.10152368333885392,0.035589259418420685,0.3125207022192779,0.07303477297082778,0.024201519516544368,2.84
0.25,10,3,0.057138125207022196,0.026123243553894452,0.09340841338191454,0.03511028168501424,0.23898641934415368,0.06179800734540964,0.023400877715101857,2.84
0.75,100,20,0.06260351109638954,0.025619529502795522,0.10185491884730043,0.03543030804724286,0.3111957601854919,0.07260586846820631,0.023962720439433285,3.09
0.5,10,3,0.05995362702881749,0.025278035836650115,0.10334547863530971,0.03615904012331825,0.3039085789996688,0.07224092011317546,0.023749441579710363,2.91
0.25,100,3,0.0634315998675058,0.02496488130685626,0.11510433918516065,0.03792419374019619,0.319807883405101,0.07432880238506598,0.02309494987096584,2.8
0.0,0,5,0.047532295462073534,0.02446698036340528,0.07535607817158,0.03137373506593495,0.14988406757204373,0.045732201353886955,0.021931165378540608,2.8
0.5,0,3,0.054157005631003646,0.02409328530512354,0.0967207684663796,0.03477353448048564,0.2808877111626366,0.06803228075499357,0.023428052955968125,2.77
0.0,10,3,0.04786353097052004,0.022714088358113855,0.08380258363696588,0.031657314955242974,0.15965551507121564,0.0465955712862657,0.020395371239958902,2.78
0.25,0,3,0.048029148724743294,0.02268644589944487,0.08463067240808214,0.031733019893226494,0.18234514739980126,0.05020751893003169,0.020668131867860654,2.77
0.75,0,5,0.0518383570718781,0.02187644732676906,0.0939052666445843,0.0323439874236283,0.33686651209009605,0.0756762049371044,0.02307521001755387,2.8
0.5,100,5,0.052500828088771115,0.021111017221956834,0.1093077177873468,0.03522168167528172,0.33719774759854254,0.07609130614276699,0.022703646786165616,2.85
0.75,500,20,0.05332891685988738,0.01995462029266162,0.09142100033123551,0.029526707490183133,0.2837032129844319,0.06337189736452141,0.019081674086513633,2.83
0.0,0,3,0.03842331897979463,0.01820775544300211,0.06757204372308712,0.025454363098645707,0.0939052666445843,0.03086943886870524,0.015566022825503489,2.89
