alpha,shrink,top_k,hr@10,ndcg@10,hr@20,ndcg@20,hr@100,ndcg@100,mrr,seconds
1.0,100,20,0.02218543046357616,0.00855227749438734,0.0826158940397351,0.023409850419626548,0.25728476821192053,0.0543101882085255,0.014420823973026966,3.28
1.0,500,20,0.02218543046357616,0.008537929647759722,0.08228476821192053,0.02332139627512629,0.25678807947019866,0.05420465083369726,0.014397036253719697,3.08
0.75,10,3,0.023344370860927152,0.0085354313107,0.05695364238410596,0.016950502530950436,0.2539735099337748,0.051360953098705184,0.012820619426972572,2.95
1.0,0,20,0.022019867549668875,0.008478399854403303,0.08245033112582781,0.023344336956189236,0.25629139072847684,0.054131325203222974,0.014385263306472081,3.04
1.0,10,20,0.022019867549668875,0.00847448128017903,0.08228476821192053,0.02330199654573964,0.2576158940397351,0.05433195755002063,0.014384860011234681,3.15
0.25,500,3,0.015894039735099338,0.005532586099490215,0.054635761589403975,0.015211790458265529,0.31390728476821195,0.06098239273848239,0.012518883523828976,3.23
0.75,100,5,0.011754966887417218,0.004113263728498254,0.02533112582781457,0.007491987711694458,0.2531456953642384,0.045896257315001174,0.009116151524690542,3.03
0.75,500,10,0.009437086092715232,0.003733145624615107,0.023509933774834436,0.007173624564983445,0.26589403973509934,0.05022098276261939,0.01011802535711096,3.01
0.5,500,5,0.010596026490066225,0.0036299988977293363,0.028642384105960265,0.00807604749888724,0.27963576158940395,0.050906572777843426,0.009524805949887064,2.95
1.0,0,10,0.005298013245033113,0.0021300307181939147,0.012748344370860927,0.003971876463165505,0.24834437086092714,0.045013050867972866,0.008304002978835634,3.13
1.0,100,10,0.0051324503311258275,0.002082172303240622,0.012748344370860927,0.003960939221323528,0.24884105960264902,0.04506852075089992,0.008289084994914908,3.13
1.0,10,10,0.0051324503311258275,0.002078740835197168,0.012582781456953643,0.003921281346116228,0.2480132450331126,0.044929817405523896,0.008280078592320652,3.13
1.0,500,10,0.0051324503311258275,0.002077177458448407,0.012582781456953643,0.003919717969367467,0.24850993377483444,0.04500662736110489,0.008281034039675877,3.04
0.5,500,3,0.00347682119205298,0.0011142303245839675,0.014072847682119206,0.003737781436756454,0.15397350993377484,0.027405507866643586,0.00643816294184168,2.99
0.75,100,3,0.00347682119205298,0.001105851014268135,0.014735099337748345,0.003924676882030232,0.11937086092715232,0.02186099976382683,0.006075682762031826,3.09
0.75,500,5,0.0033112582781456954,0.0010831630729184077,0.008774834437086093,0.0024541949092109845,0.11903973509933775,0.020373123422493554,0.005485403650566529,3.03
