number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_dropout,params_hidden,params_lr,params_wd,user_attrs_val_kendall,user_attrs_val_mae,system_attrs_tpe:relative_params:0,state
41,0.8653307402468127,2026-09-15 04:44:45.711243,2026-09-15 04:44:59.742183,0 days 00:00:14.030940,0.829872217005826,0.3312457660196085,0.44640685231472926,1024-512,0.00020057564583552328,2.225136038092386e-06,0.7323564153711233,1.1989994049072266,"{""alpha"": 0.829872217005826, ""beta"": 0.3312457660196085, ""dropout"": 0.44640685231472926, ""hidden"": ""1024-512"", ""lr"": 0.00020057564583552328, ""wd"": 2.225136038092386e-06}",COMPLETE
42,0.8611106805201545,2026-09-15 04:44:59.742247,2026-09-15 04:45:14.811088,0 days 00:00:15.068841,0.9543471507101182,0.2667278630016133,0.42051952275692467,1024-512,0.00029059395489203265,1.7280670618951398e-06,0.7281418749361366,1.1818017959594727,"{""alpha"": 0.9543471507101182, ""beta"": 0.2667278630016133, ""dropout"": 0.42051952275692467, ""hidden"": ""1024-512"", ""lr"": 0.00029059395489203265, ""wd"": 1.7280670618951398e-06}",COMPLETE
43,0.8599930871350626,2026-09-15 04:45:14.811121,2026-09-15 04:45:32.300716,0 days 00:00:17.489595,0.8722168011559912,0.1957121934046308,0.41938748206074933,1024-512,0.00010474162086873913,2.6175090712704702e-06,0.7339234047702214,1.2274048328399658,"{""alpha"": 0.8722168011559912, ""beta"": 0.1957121934046308, ""dropout"": 0.41938748206074933, ""hidden"": ""1024-512"", ""lr"": 0.00010474162086873913, ""wd"": 2.6175090712704702e-06}",COMPLETE
44,0.8482439786345869,2026-09-15 04:45:32.300792,2026-09-15 04:45:40.717189,0 days 00:00:08.416397,0.8545540094862732,0.19565100016466264,0.4496408362917669,1024-512,0.00016421841823796368,3.749255437230753e-06,0.7230776344522086,1.247843861579895,"{""alpha"": 0.8545540094862732, ""beta"": 0.19565100016466264, ""dropout"": 0.4496408362917669, ""hidden"": ""1024-512"", ""lr"": 0.00016421841823796368, ""wd"": 3.749255437230753e-06}",COMPLETE
45,0.8771476298662888,2026-09-15 04:45:40.717219,2026-09-15 04:46:10.050577,0 days 00:00:29.333358,0.7380455018139458,0.21832944065882873,0.4085845226481126,1024-512,0.0002883641767384477,5.848046348967554e-06,0.7453361568032332,1.2518209218978882,"{""alpha"": 0.7380455018139458, ""beta"": 0.21832944065882873, ""dropout"": 0.4085845226481126, ""hidden"": ""1024-512"", ""lr"": 0.0002883641767384477, ""wd"": 5.848046348967554e-06}",COMPLETE
46,0.8587214016085006,2026-09-15 04:46:10.050649,2026-09-15 04:46:27.381925,0 days 00:00:17.331276,0.9861734856393048,0.1789068688307094,0.39964204719798296,1024-512,0.00011093996503149512,1.7510340256316825e-05,0.7345393151685976,1.1840304136276245,"{""alpha"": 0.9861734856393048, ""beta"": 0.1789068688307094, ""dropout"": 0.39964204719798296, ""hidden"": ""1024-512"", ""lr"": 0.00011093996503149512, ""wd"": 1.7510340256316825e-05}",COMPLETE
47,0.8555643445445266,2026-09-15 04:46:27.381987,2026-09-15 04:46:44.713764,0 days 00:00:17.331777,0.9543112762835647,0.3286156383498669,0.4457799442956437,1024-512,0.00010075094361967857,2.7959999020714306e-06,0.7320636860560942,1.18252432346344,"{""alpha"": 0.9543112762835647, ""beta"": 0.3286156383498669, ""dropout"": 0.4457799442956437, ""hidden"": ""1024-512"", ""lr"": 0.00010075094361967857, ""wd"": 2.7959999020714306e-06}",COMPLETE
48,0.8681165851122632,2026-09-15 04:46:44.713796,2026-09-15 04:47:02.237698,0 days 00:00:17.523902,0.8689174464633076,0.30015280354353957,0.4028827279943125,1024-512,0.0002238114130714347,1.5411178335643902e-05,0.7366942838928836,1.164720058441162,"{""alpha"": 0.8689174464633076, ""beta"": 0.30015280354353957, ""dropout"": 0.4028827279943125, ""hidden"": ""1024-512"", ""lr"": 0.0002238114130714347, ""wd"": 1.5411178335643902e-05}",COMPLETE
49,0.8750993304659752,2026-09-15 04:47:02.237737,2026-09-15 04:47:38.314634,0 days 00:00:36.076897,0.7237241032655664,0.5233272413337915,0.37712751604521866,1024-512,0.00010968693404957875,0.0005160809070994753,0.7479226120699396,1.2485418319702148,"{""alpha"": 0.7237241032655664, ""beta"": 0.5233272413337915, ""dropout"": 0.37712751604521866, ""hidden"": ""1024-512"", ""lr"": 0.00010968693404957875, ""wd"": 0.0005160809070994753}",COMPLETE
50,0.8798724940819339,2026-09-15 04:47:38.314688,2026-09-15 04:48:16.571413,0 days 00:00:38.256725,0.7617982331802278,0.46848088896705337,0.3974248623690206,1024-512,0.0001637174382626952,0.00034573438801824323,0.7485495258468515,1.2001256942749023,"{""alpha"": 0.7617982331802278, ""beta"": 0.46848088896705337, ""dropout"": 0.3974248623690206, ""hidden"": ""1024-512"", ""lr"": 0.0001637174382626952, ""wd"": 0.00034573438801824323}",COMPLETE
51,0.873513125851892,2026-09-15 04:48:16.571463,2026-09-15 04:48:43.550520,0 days 00:00:26.979057,0.7703290199021033,0.36066491922931937,0.3661798102430834,1024-512,0.00016200669385584197,0.0006793879339019483,0.7438807757119049,1.2594746351242065,"{""alpha"": 0.7703290199021033, ""beta"": 0.36066491922931937, ""dropout"": 0.3661798102430834, ""hidden"": ""1024-512"", ""lr"": 0.00016200669385584197, ""wd"": 0.0006793879339019483}",COMPLETE
52,0.8785519817357302,2026-09-15 04:48:43.550591,2026-09-15 04:49:12.387822,0 days 00:00:28.837231,0.9200637957075367,0.4267002899055956,0.4393948571341843,1024-512,0.00015944962472681115,2.4278770100837422e-06,0.7473145336653182,1.1210647821426392,"{""alpha"": 0.9200637957075367, ""beta"": 0.4267002899055956, ""dropout"": 0.4393948571341843, ""hidden"": ""1024-512"", ""lr"": 0.00015944962472681115, ""wd"": 2.4278770100837422e-06}",COMPLETE
53,0.8752942336463563,2026-09-15 04:49:12.387855,2026-09-15 04:49:38.550867,0 days 00:00:26.163012,0.7715302800935757,0.6980436271281878,0.366405711520096,1024-512,0.0001312918481518904,0.0009307901917078182,0.744738559970233,1.2910206317901611,"{""alpha"": 0.7715302800935757, ""beta"": 0.6980436271281878, ""dropout"": 0.366405711520096, ""hidden"": ""1024-512"", ""lr"": 0.0001312918481518904, ""wd"": 0.0009307901917078182}",COMPLETE
54,0.858819259661323,2026-09-15 04:49:38.550935,2026-09-15 04:49:52.588201,0 days 00:00:14.037266,0.8954295276396192,0.5401528918167969,0.4386819082846496,1024-512,0.00023379716699404687,3.4469229688240524e-06,0.7325375410887074,1.190099835395813,"{""alpha"": 0.8954295276396192, ""beta"": 0.5401528918167969, ""dropout"": 0.4386819082846496, ""hidden"": ""1024-512"", ""lr"": 0.00023379716699404687, ""wd"": 3.4469229688240524e-06}",COMPLETE
55,0.8678651434139115,2026-09-15 04:49:52.588261,2026-09-15 04:50:21.554133,0 days 00:00:28.965872,0.8272712241272993,0.2560362229245893,0.39591535754207474,1024-512,0.00018016081441903344,0.0009689363223484257,0.7409833783934052,1.1954858303070068,"{""alpha"": 0.8272712241272993, ""beta"": 0.2560362229245893, ""dropout"": 0.39591535754207474, ""hidden"": ""1024-512"", ""lr"": 0.00018016081441903344, ""wd"": 0.0009689363223484257}",COMPLETE
56,0.8813854737079806,2026-09-15 04:50:21.554196,2026-09-15 04:50:46.623795,0 days 00:00:25.069599,0.7941376506462544,0.3774475303542461,0.41060835247749344,1024-512,0.00011963926960230723,0.0007076064917998584,0.7432701574186524,1.2056078910827637,"{""alpha"": 0.7941376506462544, ""beta"": 0.3774475303542461, ""dropout"": 0.41060835247749344, ""hidden"": ""1024-512"", ""lr"": 0.00011963926960230723, ""wd"": 0.0007076064917998584}",COMPLETE
57,0.8756668018478048,2026-09-15 04:50:46.623856,2026-09-15 04:51:30.753110,0 days 00:00:44.129254,0.7964666558958358,0.46630173024503896,0.4400134901239659,1024-512,0.00011806989877518768,0.00025118623531955993,0.7445021185625893,1.176203727722168,"{""alpha"": 0.7964666558958358, ""beta"": 0.46630173024503896, ""dropout"": 0.4400134901239659, ""hidden"": ""1024-512"", ""lr"": 0.00011806989877518768, ""wd"": 0.00025118623531955993}",COMPLETE
58,0.8728277530009518,2026-09-15 04:51:30.753177,2026-09-15 04:52:17.076946,0 days 00:00:46.323769,0.8161190797919367,0.5824128144907567,0.4234303678754443,1024-512,0.00013176726666864458,0.0006063712194577211,0.7440201251510362,1.1725584268569946,"{""alpha"": 0.8161190797919367, ""beta"": 0.5824128144907567, ""dropout"": 0.4234303678754443, ""hidden"": ""1024-512"", ""lr"": 0.00013176726666864458, ""wd"": 0.0006063712194577211}",COMPLETE
59,0.8718672533670031,2026-09-15 04:52:17.077002,2026-09-15 04:52:37.266436,0 days 00:00:20.189434,0.9934102738608066,0.3221179279589328,0.40441729551738564,1024-512,0.00017953969375600806,1.721361728265037e-06,0.7344245041420306,1.1605113744735718,"{""alpha"": 0.9934102738608066, ""beta"": 0.3221179279589328, ""dropout"": 0.40441729551738564, ""hidden"": ""1024-512"", ""lr"": 0.00017953969375600806, ""wd"": 1.721361728265037e-06}",COMPLETE
